arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B11_full_proposed,three_phase_oscillation_count,0.07222222222222222,0.0,180,0.0,0.0,0.3510647102577105,id
B11_full_proposed,premature_reverse_count,0.011111111111111112,0.0,180,0.0,0.0,0.10511440369749678,id
B11_full_proposed,release_delay_max_s,0.7866666666665821,0.44999999999997264,180,0.29999999999996696,0.8999999999996038,0.9762200502916877,id
B11_full_proposed,conflict_traversal_time_failure_penalized_s,20.944999999999425,8.950000000001378,180,6.474999999999499,40.0,16.209202417662997,id
B11_full_proposed,zero_speed_risk_steps,17.522222222222222,13.0,180,10.0,20.25,13.072832315715315,id
B11_full_proposed,planner_compute_ms_p95_health_only,479.77074908347277,482.93261249982606,180,481.19021000011344,484.648165001272,18.942302014548588,id
B11_full_proposed,planner_deadline_miss_rate_health_only,1.0,1.0,180,1.0,1.0,0.0,id
B00_strong_nominal_mppi,safe_success,0.7888888888888889,,180,,,,ood
B00_strong_nominal_mppi,collision,0.2111111111111111,,180,,,,ood
B00_strong_nominal_mppi,boundary_violation,0.0,,180,,,,ood
B00_strong_nominal_mppi,failure_penalized_steps,322.52777777777777,300.0,180,295.0,322.25,41.35436593186164,ood
B00_strong_nominal_mppi,final_goal_distance,0.9524509700059102,0.2939408708887709,180,0.28574575009336045,0.2988762236281501,1.5050096464193479,ood
B00_strong_nominal_mppi,path_progress_m_max,7.85596265959982,8.509732307255344,180,8.501857376269475,8.517214892342627,1.5036914629840634,ood
B00_strong_nominal_mppi,minimum_clearance,0.22244697513435366,0.31383970813746753,180,0.09510940194733891,0.3176900356974305,0.14739157294028188,ood
B00_strong_nominal_mppi,conflict_q05_clearance,0.29778787573724624,0.3189634023055036,180,0.2791875271489933,0.3226351535639317,0.10672414084974845,ood
B00_strong_nominal_mppi,trajectory_length,7.972996966586912,8.527605217825595,180,8.507436997143875,8.677898577485887,1.530323425992266,ood
B00_strong_nominal_mppi,applied_control_jerk,0.03773479686940381,0.034260460845976906,180,0.021277884524549515,0.04770393635496109,0.01806536830630172,ood
B00_strong_nominal_mppi,stuck_steps,15.505555555555556,16.0,180,13.0,18.0,4.8213876653140755,ood
B00_strong_nominal_mppi,spin_steps,2.45,2.0,180,0.0,3.25,2.522025877174869,ood
B00_strong_nominal_mppi,direction_switch_count,0.0,0.0,180,0.0,0.0,0.0,ood
B00_strong_nominal_mppi,three_phase_oscillation_count,0.0,0.0,180,0.0,0.0,0.0,ood
B00_strong_nominal_mppi,premature_reverse_count,0.0,0.0,180,0.0,0.0,0.0,ood
B00_strong_nominal_mppi,release_delay_max_s,0.0,0.0,180,0.0,0.0,0.0,ood
B00_strong_nominal_mppi,conflict_traversal_time_failure_penalized_s,22.563333333332853,15.099999999998037,180,5.699999999999584,40.0,16.55623867628625,ood
B00_strong_nominal_mppi,zero_speed_risk_steps,0.0,0.0,180,0.0,0.0,0.0,ood
